N,Time
0,2.900022082030773e-06
1,6.400048732757568e-06
2,7.099995855242014e-06
3,6.099988240748644e-06
4,6.699992809444666e-06
5,8.09994526207447e-06
6,9.600014891475439e-06
7,1.0400020983070135e-05
8,1.160003012046218e-05
9,1.309998333454132e-05
10,1.4200049918144941e-05
11,1.580000389367342e-05
12,1.7000013031065464e-05
13,1.8600025214254856e-05
14,2.0299979951232672e-05
15,2.169999061152339e-05
16,2.41999514400959e-05
17,2.9499991796910763e-05
18,2.7600035537034273e-05
19,2.929999027401209e-05
20,3.089994424954057e-05
21,3.350002225488424e-05
22,3.549997927621007e-05
23,4.2600033339113e-05
24,3.940000897273421e-05
25,4.210002953186631e-05
26,4.3899985030293465e-05
27,5.989999044686556e-05
28,5.339999916031957e-05
29,6.719998782500625e-05
